ResponseId,Duration (in seconds),Finished,UserLanguage,socialscience_identi,background,seniority,seniority_6_TEXT,social_years,gender,gender_4_TEXT,Likert_sexism_1,Likert_sexism_2,Likert_sexism_3,Likert_sexism_4,experience_binary,type_LLMs,type_LLMs_5_TEXT,type_techniques,type_techniques_6_TEXT,often_use,often_use_5_TEXT,Which_llm,Which_llm_4_TEXT,Likert_confidenc_1,Likert_confidenc_2,Likert_confidenc_3,Likert_confidenc_4,Likert_confidenc_5,Likert_confidenc_6,Likert_confidenc_7,sharing_something
EXP_1,2084,True,EN,Yes,communication science,PhD candidate or equivalent,,6,Female,,6,6,2,2,yes,"writing text,summarizing text,information seeking (papers, questions)",,"prompting through a chat interface,prompting through an API or code,fine-tuning the LLM on data",,daily,,ChatGPT,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,
EXP_2,4315,True,EN,Yes,communication science,PhD candidate or equivalent,,6,Female,,6,7,2,1,yes,"writing text,summarizing text,information seeking (papers, questions)",,prompting through a chat interface,,sporadically,,ChatGPT,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,No.
EXP_3,2093,True,EN,Yes,"Computer science: Natural language processing, Computational social science, Machine learning",Assistant Professor or equivalent,,10,Female,,5,5,2,2,yes,"writing text,designing figures or tables,Other:",Running experiments,"prompting through a chat interface,prompting through an API or code,designing prompt chains,fine-tuning the LLM on data",,sporadically,,"ChatGPT,Other, e.g:",We tried out a few in research including Claude but not confident about saying “I used them” as this was mainly done by my collaborators.,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,"I feel a bit uncomfortable with the over excitement/fear that I witness, e.g., overusing them for annotating data."
EXP_4,1453,True,EN,Yes,Computational Social Science,PhD candidate or equivalent,,3,Female,,6,6,1,1,yes,"data annotation,Other:",modelling,"prompting through a chat interface,prompting through an API or code,fine-tuning the LLM on data",,weekly,,"ChatGPT,Claude,Mistral",,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,
EXP_5,1607,True,EN,Yes,computer science,PhD candidate or equivalent,,4,Female,,6,6,2,1,yes,"data annotation,writing text",,"prompting through a chat interface,prompting through an API or code,fine-tuning the LLM on data",,weekly,,"ChatGPT,Other, e.g:",Llama,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,
EXP_6,2578,True,EN,Yes,communication science/media studies,Assistant Professor or equivalent,,9,Female,,5,7,1,1,no,,,,,,,,,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,"I have no experience with LLMs in research myself, but I do sometimes rely on research that has used LLMs."
EXP_7,21739,False,EN,Yes,computational social science,PhD candidate or equivalent,,3,Female,,6,6,1,1,yes,"data annotation,Other:",modelling,"prompting through a chat interface,prompting through an API or code,designing prompt chains,fine-tuning the LLM on data",,weekly,,"ChatGPT,Claude,Mistral",,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,
EXP_8,440,False,EN,Yes,Computational social science,PhD candidate or equivalent,,3,Female,,6,6,1,1,yes,"data annotation,Other:",modelling,"prompting through a chat interface,prompting through an API or code,fine-tuning the LLM on data",,weekly,,"ChatGPT,Claude,Mistral",,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,
EXP_9,2963,True,EN,Yes,computer science,Assistant Professor or equivalent,,10,Male,,7,5,5,2,yes,"data annotation,writing text",,"prompting through a chat interface,prompting through an API or code,designing prompt chains,fine-tuning the LLM on data,designing LLM agents (chatbots, personas, e.g.)",,weekly,,"ChatGPT,Claude,Mistral",,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Research *about* LLMs does not seem to be covered in these questions. I use LLMs because I research LLMs. I would not necessarily use them to answer social science questions.
EXP_10,10876,True,EN,Yes,communication science,Postdoc or equivalent,,8,Female,,2,6,1,1,no,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,
EXP_11,4825,True,EN,Maybe,HCI and NLP,PhD candidate or equivalent,,5,Female,,6,5,1,1,yes,summarizing text,,"prompting through a chat interface,prompting through an API or code",,monthly,,ChatGPT,,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The anthropomorphization of LLMs and confusion between human-like responses to something that an actual human would say.
